0,0,0,0
1000,0,91.5,28.0333
2000,0,284.1,110.267
3000,0,517.8,244.933
4000,0,822.633,434.633
5000,0,1145,679.5
6000,0,1538.77,978.833
7000,0,1986.63,1330.07
8000,0,2467,1731.9
9000,0,2955.7,2201.23
10000,0,3455.77,2706.17
11000,0,3936.23,3267.27
12000,0,4634.03,3889.27
13000,0,5277.1,4562.2
14000,0,5932.83,5287.8
15000,0,6648.47,6068.53
16000,0,7408.1,6897.7
17000,0,8089.3,7784.13
18000,0,8842.9,8729.73
19000,0,9490.27,9725.03
20000,0,10445.1,10972.3
21000,0,11185.5,12118.4
22000,0,11981.8,13290.4
23000,0,13055.2,14494.1
24000,0,14114.7,15783.5
25000,0,15121,17158
26000,0,16201.6,18584.2
27000,0,17067.9,19998.9
28000,0,18177.9,21505.1
29000,0,19373.1,23355.4
30000,0,20498.4,24785.8
31000,0,21634.3,26259.3
32000,0,22752.6,28117.2
33000,0,23794.5,29867.9
34000,0,24922.2,31689.9
35000,0,26113.5,33798.4
